frame,track_id,class_id,x_center,y_center,width,height
1,2503,2,991.99,630.53,96.18,76.0
1,2513,2,845.75,782.84,219.91,165.52
1,2585,2,841.87,654.64,125.28,96.21
1,2589,2,660.88,743.82,255.09,163.5
1,2544,2,406.8,546.2,115.64,66.0
2,2503,2,992.2,630.51,96.25,76.11
2,2513,2,845.7,782.98,219.87,165.78
2,2585,2,841.79,653.94,125.22,96.72
2,2589,2,660.72,744.12,254.26,163.75
2,2544,2,406.76,545.92,116.61,65.79
3,2503,2,992.19,630.73,96.15,76.31
3,2513,2,845.73,782.96,219.99,165.88
3,2585,2,841.56,654.46,125.24,95.77
3,2589,2,660.79,743.85,254.66,163.69
3,2544,2,406.95,545.98,117.74,65.93
4,2503,2,992.37,630.83,96.3,76.52
4,2513,2,845.71,782.79,219.88,165.58
4,2585,2,841.54,654.64,125.25,95.52
4,2589,2,661.11,743.93,254.06,163.86
4,2544,2,405.75,545.39,120.92,63.88
5,2503,2,992.19,630.94,95.91,76.31
5,2513,2,845.7,782.94,219.87,165.93
5,2585,2,841.4,654.69,124.83,95.97
5,2589,2,660.87,744.53,254.19,164.68
6,2503,2,991.8,631.2,95.67,76.91
6,2513,2,845.74,782.86,219.93,165.9
6,2585,2,841.46,654.62,124.96,95.89
6,2589,2,660.87,744.63,254.24,165.24
7,2503,2,991.71,631.24,95.59,76.76
7,2513,2,845.69,782.65,219.81,165.5
7,2585,2,841.46,654.39,125.02,96.11
7,2589,2,660.91,744.52,253.98,165.3
8,2503,2,991.78,631.26,95.62,76.96
8,2513,2,845.75,782.7,219.87,165.42
8,2585,2,841.38,654.63,125.19,95.23
8,2589,2,660.97,744.22,253.13,164.1
9,2503,2,991.85,631.27,95.63,77.02
9,2513,2,845.74,782.73,219.8,165.52
9,2585,2,841.38,655.02,125.26,94.82
9,2589,2,661.01,744.37,252.83,163.26
10,2503,2,991.94,631.18,95.59,77.09
10,2513,2,845.77,782.68,219.68,165.53
10,2585,2,841.37,654.89,125.46,94.87
10,2589,2,661.16,743.55,253.07,162.47
