frame,track_id,class_id,x_center,y_center,width,height
1,70736,2,36.78,997.73,73.09,99.58
1,70818,2,1364.79,420.35,85.49,27.55
1,70819,2,1386.08,494.87,99.79,42.61
1,70733,7,416.4,794.02,354.4,212.23
1,70729,7,737.29,659.08,210.34,135.3
2,70736,2,36.71,997.64,73.0,99.08
2,70729,7,737.38,659.23,210.27,135.59
2,70656,2,298.53,660.44,148.14,85.33
2,70644,2,478.9,590.19,132.04,52.63
3,70736,2,36.86,998.36,73.31,100.29
3,70729,7,737.48,659.05,210.53,135.52
3,70656,2,297.42,659.39,151.23,86.88
3,70644,2,478.71,590.23,132.16,52.79
4,70736,2,36.88,997.97,73.35,99.75
4,70729,7,737.25,658.78,210.18,135.21
4,70656,2,296.94,659.53,151.34,89.35
4,70644,2,478.56,590.35,132.92,53.17
5,70736,2,36.92,998.24,73.4,100.2
5,70729,7,737.33,658.77,210.19,135.3
5,70656,2,297.29,660.74,149.62,88.24
5,70644,2,478.39,590.37,132.82,53.35
6,70736,2,36.89,998.61,73.3,101.14
6,70729,7,737.37,659.06,210.18,135.59
6,70656,2,297.21,661.02,149.79,88.17
6,70644,2,478.67,590.39,132.03,53.23
7,70736,2,36.88,998.35,73.25,100.74
7,70729,7,737.29,659.1,210.65,135.4
7,70656,2,297.09,660.0,150.59,91.11
7,70644,2,478.41,590.51,132.81,53.52
8,70736,2,36.88,998.35,73.27,100.51
8,70729,7,737.28,659.0,210.11,135.48
8,70656,2,296.36,659.7,151.54,90.87
8,70644,2,478.56,590.55,133.08,53.72
8,70776,2,36.16,983.78,71.96,150.81
9,70736,2,36.9,998.43,73.28,100.47
9,70729,7,737.33,659.08,209.81,135.42
9,70656,2,297.03,661.07,150.31,88.69
9,70644,2,478.29,590.64,133.65,53.59
9,70776,2,36.16,980.47,71.94,157.07
10,70736,2,36.89,998.09,73.28,100.1
10,70729,7,737.47,659.0,210.16,135.29
10,70656,2,297.56,661.88,148.99,87.52
10,70644,2,478.45,590.59,132.8,53.55
