frame,track_id,class_id,x_center,y_center,width,height
1,518,2,852.39,626.14,108.97,67.7
1,564,2,1161.72,589.91,103.67,67.52
2,518,2,851.71,624.97,111.58,67.89
2,464,2,388.07,916.27,401.72,241.55
2,490,2,927.81,1067.87,364.22,253.49
3,518,2,848.26,627.75,111.89,67.22
4,506,2,1124.07,649.6,86.13,87.25
5,577,2,731.43,705.04,174.8,120.83
6,577,2,740.33,700.12,171.17,117.54
6,564,2,1161.88,601.29,94.62,74.43
6,464,2,535.75,1015.55,473.76,319.41
6,518,2,847.23,633.35,126.31,80.76
7,577,2,743.17,698.41,170.31,113.56
7,464,2,622.63,980.22,413.59,295.81
7,518,2,847.09,634.54,127.96,82.32
7,508,2,1026.07,997.26,274.51,303.79
8,577,2,743.9,698.4,169.95,112.82
8,464,2,670.28,953.52,376.73,288.27
8,518,2,847.06,634.92,128.61,83.94
9,577,2,744.36,698.24,170.2,112.37
9,464,2,694.46,934.23,356.27,271.45
9,518,2,847.22,634.05,128.19,83.24
9,506,2,1133.07,633.39,88.59,67.79
10,577,2,744.28,698.41,170.46,112.6
10,464,2,710.24,919.4,343.33,257.26
10,518,2,847.48,633.37,127.49,82.96
