frame,track_id,class_id,x_center,y_center,width,height
1,8511,2,1097.24,739.61,137.34,139.14
1,8518,2,1098.49,642.28,90.55,56.48
1,8542,2,963.91,980.36,290.39,295.26
1,8561,2,473.68,627.1,150.05,69.0
2,8511,2,1096.64,740.44,137.87,137.35
2,8518,2,1098.34,642.69,90.37,56.65
2,8542,2,963.8,980.51,290.31,295.62
2,8561,2,473.5,626.76,150.0,69.63
3,8511,2,1097.13,740.42,137.7,137.95
3,8518,2,1098.3,642.3,90.21,57.18
3,8542,2,963.7,980.34,290.47,295.44
3,8561,2,473.53,626.78,149.34,69.6
4,8511,2,1097.35,739.79,137.1,139.62
4,8518,2,1098.05,642.48,90.25,61.4
4,8542,2,963.72,980.2,290.83,295.29
4,8561,2,473.88,626.82,148.77,68.53
5,8511,2,1097.95,735.3,134.94,143.23
5,8518,2,1098.01,641.66,90.02,64.58
5,8542,2,963.67,980.26,290.91,294.68
5,8561,2,473.88,626.99,148.54,67.94
6,8511,2,1099.7,728.06,132.9,142.12
6,8518,2,1099.14,635.78,87.6,58.53
6,8542,2,963.61,980.44,290.66,294.23
6,8561,2,474.09,626.64,148.0,68.39
7,8511,2,1104.05,722.36,129.76,132.58
7,8518,2,1101.24,628.84,88.14,52.84
7,8542,2,963.64,980.4,290.42,294.41
7,8561,2,474.28,626.44,147.17,68.29
8,8511,2,1106.4,711.05,126.45,120.01
8,8518,2,1102.48,625.19,90.44,52.97
8,8542,2,963.46,980.17,290.36,294.16
8,8561,2,474.88,626.85,145.82,67.16
9,8511,2,1108.99,702.69,123.38,119.67
9,8542,2,964.01,980.3,290.09,293.57
10,8511,2,1110.82,695.16,119.55,111.89
10,8542,2,963.58,980.69,290.14,294.53
10,8518,2,1104.72,606.77,80.84,49.73
10,8561,2,474.78,627.07,146.41,67.69
