frame,track_id,class_id,x_center,y_center,width,height
1,39372,2,748.93,681.27,155.02,80.95
1,39115,2,585.49,697.73,174.26,126.09
1,39391,2,483.05,792.49,241.97,128.0
1,39419,2,212.04,913.14,78.08,46.62
2,39372,2,758.14,680.98,134.08,79.78
2,39115,2,586.08,697.76,173.73,126.42
2,39391,2,487.08,791.95,249.79,128.87
2,39419,2,212.43,913.24,77.27,46.78
3,39372,2,760.8,680.44,127.27,78.6
3,39115,2,586.93,697.56,173.24,126.14
3,39391,2,488.71,792.24,253.04,129.7
3,39419,2,212.61,913.26,77.01,46.53
3,39435,0,1190.8,603.94,28.73,63.13
4,39372,2,750.3,680.73,151.46,81.2
4,39115,2,587.09,697.6,172.68,125.21
4,39391,2,489.53,792.28,254.54,128.95
4,39419,2,211.44,912.74,78.64,46.37
5,39372,2,746.45,681.36,159.05,81.74
5,39115,2,586.97,697.51,173.78,125.4
5,39391,2,489.86,792.29,255.01,129.0
5,39419,2,212.49,913.53,77.77,46.63
6,39372,2,745.23,681.5,162.37,82.18
6,39115,2,586.79,697.59,173.98,125.8
6,39391,2,489.92,792.03,255.23,129.6
6,39419,2,212.93,913.86,77.47,46.98
6,39438,2,763.68,679.78,120.28,77.44
7,39115,2,586.89,697.59,172.62,125.42
7,39391,2,489.96,791.81,255.3,129.52
7,39419,2,213.36,914.09,76.58,47.75
7,39438,2,763.78,680.35,120.53,78.35
7,39435,0,1188.63,603.74,29.2,63.82
8,39115,2,586.68,698.13,172.23,125.38
8,39391,2,490.07,791.53,255.42,129.41
8,39419,2,213.62,914.09,76.97,48.05
8,39438,2,765.18,681.1,118.48,78.65
9,39115,2,586.72,697.6,171.81,125.37
9,39391,2,490.07,791.62,255.47,129.33
9,39419,2,213.11,914.1,76.98,47.99
9,39438,2,764.94,681.15,118.48,78.02
10,39115,2,586.95,697.53,171.97,125.54
10,39391,2,489.82,791.62,255.16,129.54
10,39419,2,212.78,914.7,76.62,49.09
10,39372,2,744.77,681.98,162.06,82.0
