frame,track_id,class_id,x_center,y_center,width,height
1,132696,2,696.59,689.3,152.96,93.32
2,132696,2,699.77,685.66,146.38,95.44
2,132942,0,1167.4,991.03,52.92,125.38
2,132943,2,510.76,754.95,186.76,109.33
2,132945,2,148.95,955.77,295.33,217.67
2,132946,2,406.76,616.4,117.78,59.15
3,132696,2,700.96,684.02,144.8,96.15
3,132943,2,510.94,752.82,186.29,102.55
3,132945,2,148.52,962.81,295.7,229.43
3,132947,2,530.49,993.08,377.1,197.77
3,132950,2,568.36,681.99,128.19,68.42
4,132943,2,509.84,759.19,188.5,114.05
4,132945,2,148.43,966.7,295.02,238.11
4,132947,2,536.95,991.55,376.42,195.27
5,132943,2,509.43,757.09,188.09,112.31
5,132945,2,148.17,966.02,295.18,238.0
5,132947,2,539.22,991.53,376.37,195.06
5,132946,2,407.3,615.58,117.51,57.2
6,132943,2,510.35,753.61,186.45,103.27
6,132945,2,147.62,966.1,295.05,241.72
6,132947,2,539.34,991.09,376.57,194.29
6,132946,2,408.07,614.83,115.16,58.6
6,132696,2,702.17,683.92,145.97,96.52
7,132943,2,511.05,751.35,185.3,98.43
7,132945,2,147.42,966.57,294.83,244.85
7,132947,2,553.64,987.64,374.25,188.51
7,132950,2,567.81,679.92,127.14,64.28
8,132943,2,510.04,754.35,186.33,103.91
8,132945,2,147.8,965.27,295.34,240.9
8,132947,2,592.31,986.85,369.07,199.92
8,132965,0,816.1,1135.53,67.63,125.99
8,132966,0,1252.76,689.06,35.77,91.46
9,132943,2,509.68,754.9,187.04,106.49
9,132945,2,147.62,964.4,294.69,237.06
9,132947,2,605.85,986.25,370.34,205.79
9,132946,2,407.21,616.67,118.05,59.44
9,132696,2,702.0,683.4,146.53,96.42
9,132950,2,569.4,681.93,125.4,67.03
10,132943,2,510.35,752.75,186.39,104.93
10,132945,2,147.83,964.09,295.51,236.59
10,132947,2,610.31,987.39,371.83,208.73
10,132979,2,1541.94,458.04,92.06,36.69
